"apol","ast_fraglike","ast_fraglike_ext","ast_violation","ast_violation_ext","a_acc","a_acid","a_aro","a_base","a_don","a_heavy","a_hyd","a_ICM","a_nBr","a_nCl","a_nF","a_nN","a_nO","a_nP","a_nS","balabanJ","BCUT_PEOE_2","BCUT_SLOGP_0","BCUT_SLOGP_1","BCUT_SLOGP_2","BCUT_SMR_0","BCUT_SMR_2","b_1rotN","b_double","b_max1len","b_single","b_triple","chi0v_C","chi1v","chiral","chiral_u","diameter","GCUT_PEOE_3","GCUT_SLOGP_0","h_ema","h_emd","h_emd_C","h_logD","h_logS","h_log_dbo","h_log_pbo","h_pavgQ","h_pKa","h_pKb","h_pstates","h_pstrain","Kier2","Kier3","KierA1","KierA2","KierA3","KierFlex","lip_acc","lip_don","lip_violation","logP(o/w)","logS","mutagenic","nmol","opr_brigid","opr_leadlike","opr_violation","PEOE_PC+","PEOE_RPC-","PEOE_VSA+0","PEOE_VSA+1","PEOE_VSA+2","PEOE_VSA+3","PEOE_VSA+4","PEOE_VSA+5","PEOE_VSA+6","PEOE_VSA-0","PEOE_VSA-1","PEOE_VSA-2","PEOE_VSA-3","PEOE_VSA-4","PEOE_VSA-5","PEOE_VSA-6","PEOE_VSA_HYD","PEOE_VSA_NEG","PEOE_VSA_PNEG","PEOE_VSA_POL","PEOE_VSA_POS","PEOE_VSA_PPOS","petitjeanSC","radius","reactive","rsynth","SlogP","SlogP_VSA0","SlogP_VSA1","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","SMR_VSA0","SMR_VSA1","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","TPSA","VAdjMa","VDistEq","vsa_acc","vsa_acid","vsa_base","vsa_don","vsa_other","vsa_pol","weinerPath","label"
31.67193,0,0,1,1,0,0,10,0,0,14,8,1.6500224,0,0,0,0,2,0,2,1.7203408,0.64956427,-2.0439138,-0.36885023,0.8348586,-1.9333711,0.91873974,3,0,3,15,0,6.309401,6.3484144,0,0,7,2.1256273,-0.60441417,2.2682867,2.8544078,2.8544078,3.1114545,-3.7077098,0,4.9422774,0,14,14,1,0,4.6799998,2.5344,10.421084,4.6345477,2.5083776,3.4497864,2,0,0,3.1259999,-5.15802,0,1,10,1,0,1.0038468,0.45239022,0,98.803093,16.917038,44.116947,0,0,0,43.473358,0,0,0,0,0,5.0075121,203.31044,48.480873,5.0075121,5.0075121,159.83708,0,0.75,4,1,1,4.2888398,0,0,0,0,10.897642,22.116161,0,75.099228,0,127.01553,19.014692,0,3.1014678,10.897642,0,75.099228,0,127.01553,26.280001,4.9068904,2.7535889,0,0,0,0,66.041496,0,325,"Category 1"
10.515965,1,1,0,0,1,0,0,0,1,5,2,1.6854753,0,0,0,1,1,0,0,2.7442453,0.41286707,-2.4573128,-0.46650133,0.36066359,-1.7680227,0.5696795,1,2,0,7,0,1.7844571,1.1897227,0,0,3,1.5597433,-1.3703068,1.9891117,5.8231645,1.3406878,-0.13296869,-0.11381793,0,1.9100022,0,14,14,1,0,2.25,4,2.8536677,1.053124,1.3185457,0.60105318,2,2,0,-0.27700001,-0.36533001,0,1,0,1,0,0.36609343,0.72012812,29.408449,15.808495,0,0,0,12.949531,0,0,0,17.742489,0,0,13.566921,0,62.959435,31.30941,13.566921,26.516451,58.166473,12.949531,0.5,2,1,0.40000001,-0.3423,32.897186,5.2587838,23.862217,0,0,0,0,17.643185,0,32.100792,23.862217,0,0,0,32.897186,17.643185,5.2587838,32.100792,43.09,3,1.5219281,13.566921,0,0,17.742489,12.949531,31.30941,18,"Category 2"
58.739826,0,0,3,4,5,0,12,0,1,27,20,1.4707338,0,0,0,1,5,0,0,1.5950679,0.37919462,-2.6426904,-0.51837277,0.47777423,-2.2194159,0.63681871,9,2,3,39,0,13.533015,8.4974718,0,0,17,2.4865909,-1.1616734,5.7708364,11.872297,9.8365679,3.6879008,-4.4989657,0,8.9982166,0,14,14,1,0,12.53858,7.3955555,17.718208,9.4354105,5.5185652,6.1917992,6,1,0,3.1224799,-4.0677199,0,1,13,1,0,1.8222769,0.17874703,97.059509,31.616989,54.133583,142.63371,0,12.949531,0,18.017035,0,0,0,5.6825762,13.566921,10.015024,343.46085,47.281555,29.264521,42.214054,338.39334,12.949531,0.8888889,9,0,0.14814815,3.09307,62.010303,5.2587838,23.862217,18.439579,6.37115,160.40388,0,123.50229,17.643185,20.973713,23.862217,43.99955,18.01075,27.344862,0,142.3707,41.341545,141.53548,66.019997,5.8073549,3.8721128,23.581945,0,0,5.6825762,12.949531,29.264521,2344,"Category 2"
15.153965,1,1,0,0,0,0,0,0,0,6,6,1.5394847,0,3,0,0,0,0,0,2.7541847,0.044418029,-2.5125248,0.123,0.49354205,-2.176192,0.42898861,2,0,4,10,0,1.9915638,3.0747178,0,0,4,1.793182,-0.88322204,1.0251529,1.8319997,1.8319997,2.3976815,-1.9509888,0,0,0,14,14,1,0,3.2,3,11.949418,7.3384929,7.8649406,14.615121,0,0,0,2.073,-1.88638,1,1,0,1,0,0.33697525,0.33333334,0,0,40.759148,0,0,0,0,0,0,88.745842,0,0,0,0,129.50499,88.745842,0,0,40.759148,0,1,2,1,1,2.0713999,0,0,4.7258277,38.366875,0,0,0,0,0,117.44593,0,0,0,4.7258277,0,0,38.366875,117.44593,0,3.321928,1.8256052,0,0,0,0,0,0,31,"Category 2"
50.306168,0,0,1,2,1,0,0,0,0,17,15,1.1424888,0,0,0,1,1,0,0,2.989877,0.090719409,-2.7797661,0.123,0.123,-2.5062211,0.1057,12,0,14,49,0,11.485281,7.6003361,0,0,14,2.6745911,-0.99192518,3.1288421,7.1110277,7.1110277,4.5312538,-4.6091261,0,0,0.011868039,14,8.9204359,1.0665393,0.007117627,11.111111,16,17,11.111111,16,11.111111,2,0,0,5.3940001,-5.5029001,0,1,0,0,2,0.9351837,0.67493701,187.49339,15.808495,0,0,20.299505,0,67.79892,124.25941,0,0,0,0,0,16.965525,203.3019,16.965525,16.965525,105.06395,291.40033,88.098427,1,7,0,0,4.8716002,0,0,0,45.275715,0,65.794373,0,0,207.55246,33.326015,0,0,26.836138,0,0,207.55246,18.439579,99.120392,17.07,5,3.6549995,16.965525,0,0,0,0,16.965525,776,"Category 2"
39.032757,0,0,2,2,2,0,12,0,2,24,18,2.1464658,0,2,4,2,2,0,0,1.8941478,0.65407574,-2.5254436,-0.42196712,0.93259794,-1.9395241,0.91706187,2,2,1,17,0,7.309401,6.8694377,0,0,12,2.2720001,-1.171773,5.4341168,9.1035728,2.4509482,5.0814376,-5.8330164,0,9.747858,0,14,14,1,0,8.5895061,4.8034024,15.911809,6.6517968,3.6892953,4.4100885,4,2,0,4.3010001,-6.2319002,0,1,12,1,1,1.8165054,0.14583245,63.233978,4.5197463,31.469528,18.041691,0,12.949531,17.440542,0,59.163895,0,11.365152,61.201462,13.566921,0,187.79399,145.29742,74.768387,105.15845,147.65501,30.390074,1,6,0,0.41666666,4.5117002,18.01075,28.099491,36.484074,0,27.047791,0,7.0012131,70.572739,0,164.7567,47.724434,59.840454,54.494823,10.186788,20.767498,70.572739,10.088739,78.297287,58.200001,5.643856,3.3824356,27.133842,0,0,11.365152,30.390074,38.498993,1412,"Category 2"
13.183137,1,1,0,0,2,0,0,0,2,5,3,1.4299111,0,0,0,1,1,0,0,2.5395389,0.44629583,-2.7367253,-0.34049255,0.39216897,-2.2958248,0.48556995,1,0,3,13,0,2.284457,1.6520457,1,1,3,1.9179242,-1.3633511,3.3662262,3.181293,1.1178095,-2.7018011,0.21212558,0,0,0.99624276,14,4.5765038,1.0250392,3.329026,2.25,4,5,2.25,4,2.25,2,3,0,-0.85799998,0.59342998,0,1,0,1,0,0.35014668,0.6327163,29.408449,0,20.299505,8.458519,0,0,0,0,0,17.742489,0,13.566921,0,0,75.908966,31.30941,13.566921,13.566921,58.166473,0,0.5,2,0,0.40000001,-0.67409998,58.282413,0,6.4686494,18.439579,0,0,0,0,0,33.326015,0,25.385227,0,6.4686494,32.897186,0,18.439579,33.326015,46.25,3,1.5219281,0,0,0,0,0,31.30941,18,"Category 3"
58.065273,0,0,3,4,4,0,6,0,0,32,20,1.9686188,0,1,3,2,6,0,0,2.0944796,0.33876073,-2.6020555,-0.36940086,0.51453567,-2.2978489,0.57294208,6,6,2,39,0,12.300965,9.2985659,0,0,16,2.6016855,-1.004324,9.3665762,9.715661,9.715661,5.4615917,-6.5955772,0,9.7375326,0,14,14,1,0,11.16,6.7898021,21.864647,8.5650558,5.1786671,5.8522472,8,0,0,3.8775001,-6.0815601,0,1,12,1,1,2.7011745,0.10910981,122.05088,29.236332,40.59901,22.058474,0,42.366531,26.486044,29.408449,29.581947,0,35.725906,13.566921,45.708275,0,308.66101,153.9915,59.275196,128.12778,282.79727,68.852577,1,8,0,0.4375,3.8492,3.1243138,36.463497,69.724205,20.926258,27.047791,35.653934,3.5006065,88.215919,0,209.40077,117.44864,48.004654,10.88383,9.4429293,2.7567475,88.215919,46.505928,170.79866,93.220001,6.044394,3.7119825,54.267685,0,0,0,64.814583,54.267685,3028,"Category 3"
53.558205,0,0,2,3,3,0,6,0,1,22,17,1.2905644,0,0,0,0,4,0,0,2.0237122,0.44084811,-2.5731273,-0.37965256,0.52286851,-2.4698739,0.57684535,10,1,8,43,0,12.259149,8.0409918,0,0,15,2.580708,-0.88686925,4.1724558,7.8664484,5.9380941,5.1599107,-5.1252613,0,4.3827591,-0.013650471,8.8588829,14,1.0748399,0.008193984,11.522634,9.0368605,17.151218,9.7814684,7.6275363,7.6256413,4,1,0,5.1409998,-5.27071,0,1,6,1,1,1.0741798,0.30313399,189.70193,15.808495,8.458519,66.175423,0,14.708499,0,61.02544,0,0,13.566921,0,16.070677,2.503756,293.7113,32.141354,18.574432,33.282932,294.85287,14.708499,0.875,8,0,0.45454547,4.7069998,36.385113,7.7454643,34.862103,0,7.5963712,35.383869,0,52.929554,113.21043,98.065147,34.862103,36.385113,4.4107962,13.672431,0,187.06624,7.7454643,102.0359,55.759998,5.4594316,3.7517598,16.070677,0,0,0,17.212255,29.637598,1411,"Category 3"
26.240343,0,0,1,2,3,0,6,0,4,13,8,2.0872521,0,1,0,1,3,0,1,2.6996734,0.5254733,-2.3832982,-0.43719369,0.64662391,-2.0128992,0.71704984,1,0,2,15,0,4.1547008,5.1704173,0,0,6,2.226301,-1.3345044,4.6025,9.1749916,1.6264814,1.6496283,-2.1029627,1.4490843,3.5123429,-1,-2.2165377,14,1,12.651726,3.6300001,2.4793389,11.092802,3.6356647,2.4834733,3.1022854,4,3,0,1.091,-2.05059,0,1,6,1,0,0.83779734,0.26078936,45.216946,4.5197463,27.321278,6.6995511,0,0,4.1846013,2.2085397,47.324436,0,0,48.024784,0,0,133.2905,97.557762,48.024784,52.209385,87.942123,4.1846013,1,3,0,0,0.91162002,55.827938,48.171688,8.583149,0,3.185575,1.5507339,3.5006065,35.286369,0,75.231407,48.171688,22.930752,1.5507339,6.6861815,2.7567475,68.183556,0,81.057808,80.389999,4.7004399,2.4057465,0,0,0,17.742489,11.512783,65.767273,228,"Category 3"
